"","person_id","id","name","character","role"
"1",11472,"tm127384","Graham Chapman","King Arthur / Voice of God / Middle Head / Hiccoughing Guard","ACTOR"
"2",1549,"tm127384","John Cleese","Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter","ACTOR"
"3",11474,"tm127384","Eric Idle","Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard","ACTOR"
"4",11473,"tm127384","Terry Gilliam","Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand","ACTOR"
"5",11475,"tm127384","Terry Jones","Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe","ACTOR"
"6",11476,"tm127384","Michael Palin","First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!","ACTOR"
"7",40898,"tm127384","Connie Booth","The Witch","ACTOR"
"8",11478,"tm127384","Carol Cleveland","Zoot / Dingo","ACTOR"
"9",11482,"tm127384","Neil Innes","First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4","ACTOR"
"10",40899,"tm127384","Bee Duffell","Old Crone","ACTOR"
"11",11481,"tm127384","John Young","Dead Body / Historian Frank","ACTOR"
"12",40900,"tm127384","Rita Davies","Historian's Wife","ACTOR"
"13",40901,"tm127384","Avril Stewart","Dr. Piglet","ACTOR"
"14",40902,"tm127384","Sally Kinghorn","Dr. Winston","ACTOR"
"15",40903,"tm127384","Mark Zycon","Prisoner","ACTOR"
"16",1275018,"tm127384","Elspeth Cameron","Girl in Castle Anthrax","ACTOR"
"17",1462970,"tm127384","Mitsuko Forstater","Girl in Castle Anthrax","ACTOR"
"18",589811,"tm127384","Sandy Johnson","Knight of Ni / Villager at Witch Burning / Musician at Wedding / Monk / Knight in Battle","ACTOR"
"19",976111,"tm127384","Sandy Rose","Girl in Castle Anthrax","ACTOR"
"20",1462971,"tm127384","Romilly Squire","Musician at Wedding / Villager at Witch Burning","ACTOR"
"21",90024,"tm127384","Joni Flynn","Girl in Castle Anthrax","ACTOR"
"22",1462991,"tm127384","Alison Walker","Girl in Castle Anthrax","ACTOR"
"23",1462993,"tm127384","Loraine Ward","Girl in Castle Anthrax","ACTOR"
"24",1462994,"tm127384","Anna Lanski","Girl in Castle Anthrax","ACTOR"
"25",1462623,"tm127384","Sally Coombe","Girl in Castle Anthrax","ACTOR"
"26",1462995,"tm127384","Vivienne MacDonald","Girl in Castle Anthrax","ACTOR"
"27",1462975,"tm127384","Yvonne Dick","Girl in Castle Anthrax","ACTOR"
"28",1462978,"tm127384","Daphne Darling","Girl in Castle Anthrax","ACTOR"
"29",703435,"tm127384","Fiona Gordon","Girl in Castle Anthrax","ACTOR"
"30",1463011,"tm127384","Judy Lamb","Girl in Castle Anthrax","ACTOR"
"31",1462986,"tm127384","Tracy Sneddon","Girl in Castle Anthrax","ACTOR"
"32",1462588,"tm127384","Joyce Pollner","Girl in Castle Anthrax","ACTOR"
"33",889417,"tm127384","Mary Allen","Girl in Castle Anthrax","ACTOR"
