"","id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes"
"1","tm127384","Monty Python and the Holy Grail","MOVIE","King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,"PG",91,"['comedy', 'fantasy']","['GB']",NA,"tt0071853",8.2,530877
"2","tm70993","Life of Brian","MOVIE","Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,"R",94,"['comedy']","['GB']",NA,"tt0079470",8,392419
"3","tm190788","The Exorcist","MOVIE","12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",1973,"R",133,"['horror']","['US']",NA,"tt0070047",8.1,391942
"4","tm14873","Dirty Harry","MOVIE","When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,"R",102,"['thriller', 'crime', 'action']","['US']",NA,"tt0066999",7.7,153463
"5","tm98978","The Blue Lagoon","MOVIE","Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,"R",104,"['romance', 'drama']","['US']",NA,"tt0080453",5.8,69053
"6","tm119281","Bonnie and Clyde","MOVIE","In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,"R",110,"['drama', 'crime', 'action']","['US']",NA,"tt0061418",7.7,111189
"7","tm67378","The Professionals","MOVIE","An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.",1966,"PG-13",117,"['western', 'action', 'european']","['US']",NA,"tt0060862",7.3,16168
"8","tm69778","Lupin the Third: The Castle of Cagliostro","MOVIE","After a successful robbery leaves famed thief Lupin the Third and his partner Jigen with nothing but a large amount of expertly crafted counterfeit bills, he decides to track down the forgers responsible—and steal any other treasures he may find in the Castle of Cagliostro, including the 'damsel in distress' he finds imprisoned there.",1979,"PG",100,"['comedy', 'animation', 'action', 'fantasy', 'family']","['JP']",NA,"tt0079833",7.6,30277
"9","tm69997","Richard Pryor: Live in Concert","MOVIE","Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,"R",78,"['comedy', 'documentation']","['US']",NA,"tt0079807",8.1,5141
"10","tm96649","The Long Riders","MOVIE","The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,"R",99,"['western', 'crime']","['US']",NA,"tt0081071",6.9,11329
"11","tm16479","White Christmas","MOVIE","Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.",1954,"",115,"['romance', 'comedy', 'music']","['US']",NA,"tt0047673",7.5,42373
"12","tm135083","Cairo Station","MOVIE","Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,"",77,"['drama', 'crime', 'comedy']","['EG']",NA,"tt0051390",7.5,4385
"13","tm89386","Hitler: A Career","MOVIE","A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,"PG",150,"['documentation', 'history', 'european']","['DE']",NA,"tt0191182",7.5,2416
"14","tm27298","Saladin the Victorious","MOVIE","Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,"",186,"['drama', 'war', 'action', 'history', 'romance']","['EG']",NA,"tt0057357",7.6,2470
"15","tm204541","Dark Waters","MOVIE","Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,"",120,"['drama', 'action', 'romance', 'thriller']","['EG']",NA,"tt0049761",6.7,590
"16","tm14350","Alexandria… Why?","MOVIE","Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,"",133,"['drama']","['EG']",NA,"tt0077751",7.2,1689
"17","tm102287","Raya and Sakina","MOVIE","Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's first ever case of serial killings, the police is relentless and assigns the case to their best inspector. He traces the leads to sisters Raya and Sekina, but it becomes a race against time before they kill again.",1953,"",105,"['drama', 'thriller', 'crime', 'history']","['EG']",NA,"tt0316472",6.8,231
"18","tm76557","No Longer Kids","MOVIE","By coincidence, Ahmad discovers that his father, Ramada Al Sokkary has a love letter in his suit case, which reveals his love to a woman other than his mother. Ahmad tries with his brothers and sister to find out the reasons that made their father look for another woman. The play shows the amusing acts the children undertake to save their family.",1979,"",235,"['comedy', 'drama']","['EG']",NA,"tt8312792",9,943
"19","tm71909","Amrapali","MOVIE","After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",1966,"",120,"['fantasy']","['IN']",NA,"tt0060104",6.7,225
"20","ts45948","Monty Python's Fliegender Zirkus","SHOW","Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,"TV-MA",43,"['comedy']","[]",1,"tt0202477",8.1,2144
"21","tm75975","Prince","MOVIE","To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",1969,"",152,"['romance']","['IN']",NA,"tt0064842",6.9,168
"22","tm188894","The School of Mischief","MOVIE","This play is about a female teacher and how she transformed 5 rebellious students into model students.",1973,"",251,"['comedy']","['EG']",NA,"",NA,NA
"23","tm107372","Manoranjan","MOVIE","Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,"",162,"['comedy', 'drama', 'romance']","['IN']",NA,"tt0071811",6.5,236
"24","tm259855","We Are All for the Fatherland","MOVIE","After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,"",74,"['documentation']","['FR', 'LB', 'CA']",NA,"tt0170799",6.2,43
"25","tm259684","Whispers","MOVIE","At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,"",93,"['documentation']","['FR', 'LB', 'CA']",NA,"tt0170803",7.8,75
"26","tm344089","Lal Patthar","MOVIE","Raja Kumar Bahadur alias Gyan Shankar Rai has been a total abstainer all his life, never touching a drop of alcohol, and keeping away from women and all known vices all his life. Then one day he sees a young woman named Saudamani, and instantly falls in love with her. He finds out about her background, and virtually buys her, and brings her to his palatial home. This is when he takes to drinking, and wooing her, and renaming her Madhuri, but refrains from marrying her. Years later, he sees another beautiful woman, about half his age, named Sumita, meets with her parents, pays off their debts, and marries her in the bargain.",1971,"",153,"['drama']","['IN']",NA,"tt0237395",6.2,137
"27","tm358653","Ujala","MOVIE","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,"",142,"['romance', 'crime', 'drama']","['IN']",NA,"tt0157132",6.7,78
"28","tm100027","Alibaba Aur 40 Chor","MOVIE","The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,"",138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",NA,"tt0079749",6.2,555
"29","tm119776","Top Gun","MOVIE","A heart-pounding combination of action, music and incredible aerial photography helped make Top Gun the blockbuster hit. of 1986. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Lt. Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.",1986,"PG",110,"['drama', 'action']","['US']",NA,"tt0092099",6.9,329656
"30","tm111075","Stand by Me","MOVIE","Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",1986,"R",89,"['drama']","['US']",NA,"tt0092005",8.1,392790
"31","tm138875","When Harry Met Sally...","MOVIE","During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,"R",96,"['romance', 'comedy', 'drama']","['US']",NA,"tt0098635",7.7,212913
"32","tm155792","Teenage Mutant Ninja Turtles","MOVIE","A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",1990,"PG",93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",NA,"tt0100758",6.7,92647
"33","tm22327","Full Metal Jacket","MOVIE","A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.",1987,"R",116,"['drama', 'war']","['GB', 'US']",NA,"tt0093058",8.3,723306
"34","tm54450","Christine","MOVIE","Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,"R",90,"['horror', 'thriller', 'european']","['US']",NA,"tt0085333",6.7,80945
"35","tm2386","A Nightmare on Elm Street","MOVIE","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,"R",91,"['horror']","['US']",NA,"tt0087800",7.4,230543
"36","tm145608","Awakenings","MOVIE","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,"PG-13",120,"['drama', 'european']","['US']",NA,"tt0099077",7.8,137549
"37","ts21715","Thomas & Friends","SHOW","Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,"TV-Y",10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']","['GB']",24,"tt0086815",6.5,4948
"38","tm41289","Annie","MOVIE","An orphan in a facility run by the mean Miss Hannigan, Annie believes that her parents left her there by mistake. When a rich man named Oliver ""Daddy"" Warbucks decides to let an orphan live at his home to promote his image, Annie is selected. While Annie gets accustomed to living in Warbucks' mansion, she still longs to meet her parents. So Warbucks announces a search for them and a reward, which brings out many frauds.",1982,"PG",127,"['drama', 'family', 'comedy']","['US']",NA,"tt0083564",6.6,44866
"39","ts20678","Saved by the Bell","SHOW","Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,"TV-G",23,"['comedy', 'romance', 'family']","['US']",5,"tt0096694",7.1,34854
"40","tm117580","She's Gotta Have It","MOVIE","The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,"R",84,"['comedy', 'romance']","['US']",NA,"tt0091939",6.7,14277
"41","tm20712","Eddie Murphy Raw","MOVIE","Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,"R",93,"['comedy', 'documentation']","['US']",NA,"tt0092948",7.6,19646
"42","tm130586","Endless Love","MOVIE","Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,"R",116,"['drama', 'romance']","['US']",NA,"tt0082329",4.9,8374
"43","ts25028","Wheel of Fortune","SHOW","This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,"TV-G",26,"['family']","['US']",39,"tt0072584",6.7,3126
